Type,Trait value
AttendanceCost,7576.0
Review,4.952235533919273
Ranking,31.04615671594017
Ranking,0.7432759153611468
Review,2.076659155557929
Review,3.961358237930293
Ranking,16.41706788187135
Review,3.1160278625743048
Ranking,21.348008884257297
Ranking,30.48647024703938
Ranking,17.934931910515584
Review,3.109876517840044
Ranking,39.778342488516
Review,3.1824652662177906
Review,4.878593482568085
Ranking,9.415071710462787
Review,2.9386919845905743
Ranking,37.157126271667344
Ranking,17.776079604921698
Review,4.699757323391822
Review,3.7861259965159433
Review,3.2322140073797767
Ranking,30.92689933966184
Ranking,43.1138940477798
Ranking,17.64121457699565
Ranking,27.368312299376388
Ranking,38.55241594014061
Ranking,16.34576331253707
Review,3.7029921001682906
Review,2.9948536946575404
Ranking,22.27806564267405
Ranking,10.652169607322993
Ranking,43.77613388699891
Ranking,0.23387346736132295
Ranking,27.345696349757127
Ranking,17.519969368650194
Review,4.101183618141467
Ranking,3.856661092810016
Review,4.529724574336838
Review,3.8961322660385194
Ranking,18.035246012913564
Ranking,46.275157818677656
Review,2.5943609889359114
Ranking,4.104191568007058
Ranking,7.221452052434458
Ranking,38.19306941751341
Ranking,0.09833824935566172
Review,3.334571950529476
Review,4.540344363106127
Review,4.607264104376616
Review,3.8183897397532736
Review,4.8144977193561935
Review,2.39634863253907
Ranking,27.010798732222423
Review,4.5983430993995915
Review,3.422714659796326
Review,2.4451069896263125
Ranking,37.689050431503865
Review,3.448658353616022
Ranking,44.754619626213206
Ranking,5.9403059386037524
Ranking,20.05605226136055
Review,3.895904601143568
Review,3.35122826060452
Review,2.3139105013141537
Review,2.7747602669714246
Review,3.139483769612041
Review,4.56460204951642
Review,4.922332956729597
Ranking,4.335755908804596
Review,4.554777393257078
Review,2.569917284762922
Review,4.7280762750570124
Ranking,32.39200276207092
Ranking,13.588228369695962
Ranking,9.450227424040298
Review,2.0282293620807006
Review,3.4474151264421526
Ranking,8.321080748640702
Review,3.809331715263121
Review,4.556318818932126
Ranking,15.433488600683193
Review,2.1352868461908265
Review,2.9362227538140937
Ranking,3.9767926975886883
Review,3.700895544014584
Ranking,37.820305594328595
Review,3.0161751806964565
Ranking,19.510049266475264
Review,3.635160930253449
Ranking,40.55877956164737
Ranking,44.54001868928764
Review,3.605648952445109
Ranking,44.05980495626466
Ranking,28.65594031322442
Review,4.1130046938517815
Ranking,35.134855385585176
Ranking,12.220098923237355
Ranking,38.22142854894204
Review,4.3514737780024415
Review,3.985169138093661
Review,2.560532022570647
Review,3.591207984175472
Ranking,33.618827457892515
Ranking,44.50126161130413
Review,2.027273465761989
Ranking,26.139271936981945
Review,3.3891084100466613
Review,4.287480916894181
Ranking,13.211597724819267
Review,2.11264811407489
Review,4.159505177200346
Review,4.3991391942547855
Ranking,16.821420035185692
Ranking,23.978057572027673
Review,3.683139268227941
Ranking,16.0650109643652
Review,4.0373084599788145
Ranking,38.923391096262186
Ranking,7.431454067003224
Ranking,23.59549824343503
Review,3.4028720697015724
Review,4.0603612360667585
Ranking,27.894523559160124
Ranking,19.668103869291976
Ranking,16.639935481544654
Ranking,26.42907612539981
Review,2.9970173586128865
Ranking,6.839422206772772
Review,2.216468894137343
Review,3.2710126296913664
Review,3.4880201443300933
Review,2.297792360030175
Review,4.353516913762581
Ranking,1.1200259845170537
Review,4.388962369222733
Review,4.217356718249134
Ranking,44.445241332440894
Ranking,2.2945691765282827
Review,2.2350100377129127
Ranking,19.11759827876136
Review,2.135203418908114
Review,2.3782023467475497
Review,2.7243807507815565
Ranking,27.64375772510357
Review,4.188001388171982
Review,3.2770218991852507
Ranking,44.378146477843664
Review,4.739769416653628
Ranking,35.55145415834228
Ranking,11.826352053406449
Review,2.415258016920822
Review,3.4894398098249755
Ranking,21.949650297410734
Review,3.4914630605617454
Review,3.7331952980232903
Review,4.1778409203019535
Ranking,7.493733830685621
Ranking,44.377240461422225
Ranking,42.671788283019325
Review,3.6898266088881813
Ranking,2.747207821284081
Review,4.161147308494488
Review,2.593438512848753
Ranking,34.870442624761985
Review,4.896069687723822
Review,4.798927759253541
Ranking,18.651397400209202
Review,4.793353279167408
Ranking,29.065917958938762
Review,4.162985773698877
Ranking,27.15614076657889
Review,3.1834616302529395
Review,3.8696069569035303
